video_uid,video_path,video_rel,source,label_name,label,is_official_test,split,clip_dir_rel,clip_dir_abs,clip_folder_name,source_clip_name,group_id,num_frames,face_extract_status,num_detected,num_fallback
reubensuju__celeb-df-v2__Celeb-real__id0_0001,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id0_0001.mp4,reubensuju/celeb-df-v2/Celeb-real/id0_0001.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id0_0001,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id0_0001,reubensuju__celeb-df-v2__Celeb-real__id0_0001,reubensuju__celeb-df-v2__Celeb-real__id0_0001,reubensuju__celeb-df-v2__Celeb-real__id0_0001,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id10_0001,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id10_0001.mp4,reubensuju/celeb-df-v2/Celeb-real/id10_0001.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id10_0001,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id10_0001,reubensuju__celeb-df-v2__Celeb-real__id10_0001,reubensuju__celeb-df-v2__Celeb-real__id10_0001,reubensuju__celeb-df-v2__Celeb-real__id10_0001,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id10_0007,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id10_0007.mp4,reubensuju/celeb-df-v2/Celeb-real/id10_0007.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id10_0007,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id10_0007,reubensuju__celeb-df-v2__Celeb-real__id10_0007,reubensuju__celeb-df-v2__Celeb-real__id10_0007,reubensuju__celeb-df-v2__Celeb-real__id10_0007,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id11_0006,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id11_0006.mp4,reubensuju/celeb-df-v2/Celeb-real/id11_0006.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id11_0006,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id11_0006,reubensuju__celeb-df-v2__Celeb-real__id11_0006,reubensuju__celeb-df-v2__Celeb-real__id11_0006,reubensuju__celeb-df-v2__Celeb-real__id11_0006,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id11_0008,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id11_0008.mp4,reubensuju/celeb-df-v2/Celeb-real/id11_0008.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id11_0008,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id11_0008,reubensuju__celeb-df-v2__Celeb-real__id11_0008,reubensuju__celeb-df-v2__Celeb-real__id11_0008,reubensuju__celeb-df-v2__Celeb-real__id11_0008,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id12_0000,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id12_0000.mp4,reubensuju/celeb-df-v2/Celeb-real/id12_0000.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id12_0000,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id12_0000,reubensuju__celeb-df-v2__Celeb-real__id12_0000,reubensuju__celeb-df-v2__Celeb-real__id12_0000,reubensuju__celeb-df-v2__Celeb-real__id12_0000,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id12_0005,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id12_0005.mp4,reubensuju/celeb-df-v2/Celeb-real/id12_0005.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id12_0005,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id12_0005,reubensuju__celeb-df-v2__Celeb-real__id12_0005,reubensuju__celeb-df-v2__Celeb-real__id12_0005,reubensuju__celeb-df-v2__Celeb-real__id12_0005,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id13_0004,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id13_0004.mp4,reubensuju/celeb-df-v2/Celeb-real/id13_0004.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id13_0004,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id13_0004,reubensuju__celeb-df-v2__Celeb-real__id13_0004,reubensuju__celeb-df-v2__Celeb-real__id13_0004,reubensuju__celeb-df-v2__Celeb-real__id13_0004,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id13_0011,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id13_0011.mp4,reubensuju/celeb-df-v2/Celeb-real/id13_0011.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id13_0011,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id13_0011,reubensuju__celeb-df-v2__Celeb-real__id13_0011,reubensuju__celeb-df-v2__Celeb-real__id13_0011,reubensuju__celeb-df-v2__Celeb-real__id13_0011,46,ok,46,0
reubensuju__celeb-df-v2__Celeb-real__id13_0013,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id13_0013.mp4,reubensuju/celeb-df-v2/Celeb-real/id13_0013.mp4,Celeb-real,real,0,True,test,test/real/reubensuju__celeb-df-v2__Celeb-real__id13_0013,/kaggle/temp/celebdfv2_46f_faces/test/real/reubensuju__celeb-df-v2__Celeb-real__id13_0013,reubensuju__celeb-df-v2__Celeb-real__id13_0013,reubensuju__celeb-df-v2__Celeb-real__id13_0013,reubensuju__celeb-df-v2__Celeb-real__id13_0013,46,ok,46,0
